,HIP,Parallax,RA,Dec,Vmag,Spectral_Type,Distance
2,3,2.81,000001.20,+385133.4,6.61,G,355.8718861209964
5,6,18.8,000004.35,+035647.4,12.31,G,53.191489361702125
6,7,17.74,000005.41,+200211.8,9.64,G,56.369785794813986
19,20,10.76,000015.11,+233145.4,8.51,G,92.93680297397769
22,23,12.21,000017.86,+131844.0,7.57,G,81.9000819000819
31,42,6.38,000030.09,+255041.2,8.2,G,156.73981191222572
43,54,20.97,000036.40,+175808.2,10.57,G,47.68717215069147
51,67,7.48,000047.78,+233217.7,7.83,G,133.6898395721925
75,96,19.83,000113.17,+135829.1,10.46,G,50.42864346949067
84,110 H,20.42,000123.69,+393638.9,8.61,G,48.97159647404505
85,111,27.11,000123.78,+341654.7,11.28,G,36.88675765400222
88,114 H,9.93,000129.20,+304409.2,7.95,G,100.70493454179255
102,*143,20.05,000149.24,+212743.7,10.35,G,49.87531172069825
107,*148,4.22,000154.91,+153142.7,8.15,G,236.96682464454977
108,*149,22.92,000154.88,+260020.1,11.26,G,43.630017452006975
116,162,2.71,000203.21,+270707.0,9.84,G,369.00369003690037
120,171,80.63,000209.65,+270504.2,5.8,G,12.40233163834801
121,172,1.27,000210.29,+672432.2,9.05,G,787.4015748031496
134,185,11.74,000221.64,+104708.3,8.53,G,85.17887563884156
139,190 H,10.47,000225.33,+104635.9,8.74,G,95.51098376313276
146,202,2.6,000234.02,+543307.8,8.62,G,384.6153846153846
159,220,6.27,000246.02,+354855.7,7.52,G,159.4896331738437
160,221,7.68,000246.37,+801656.1,7.74,G,130.20833333333334
162,*223 H,21.58,000247.14,+020749.4,7.17,G,46.33920296570899
170,246,18.29,000303.28,+564359.5,9.73,G,54.67468562055768
172,248,9.03,000303.78,+081614.9,8.1,G,110.74197120708749
174,250 H,5.19,000305.84,+522754.6,8.14,G,192.67822736030828
198,279,0.81,000327.31,+622128.1,8.69,G,1234.567901234568
238,*324,8.18,000410.21,+172612.1,8.53,G,122.24938875305624
256,352,12.99,000426.42,+580407.6,10.42,G,76.98229407236336
274,385 H,9.37,000446.84,+381025.8,9.39,G,106.72358591248667
280,391 H,6.95,000450.87,+435814.8,8.18,G,143.88489208633092
288,*404 H,14.53,000457.51,+454026.2,7.47,G,68.82312456985548
302,423,6.66,000509.26,+301944.8,7.8,G,150.15015015015015
303,*424,14.25,000509.78,+451344.7,6.71,G,70.17543859649123
306,*428,86.98,000510.16,+454713.0,9.95,G,11.496895838123706
309,431,2.45,000512.48,+361813.3,8.09,G,408.1632653061224
337,474,7.0,000540.85,+442807.3,8.36,G,142.85714285714286
345,482 H,5.95,000544.41,+175025.2,7.75,G,168.0672268907563
353,495 H,25.77,000555.56,+180434.4,8.58,G,38.80481179666279
358,510 H,11.07,000608.02,+094253.9,7.8,G,90.33423667570008
